===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-03-13 15:36:20
count workspace : /Users/fabioespinosa/Desktop/runregistry
total files : 208
total code lines : 50778
total comment lines : 6225
total blank lines : 5753

.babelrc, code is 3, comment is 0, blank is 0.
components/offline/dataset_table/filters/rename_triplets.js, code is 29, comment is 6, blank is 0.
components/offline/dataset_table/WaitingListDatasetTable.js, code is 184, comment is 11, blank is 13.
components/offline/lumisections/LumisectionModal.js, code is 50, comment is 1, blank is 3.
components/offline/lumisections/lumisections/editLumisections/EditLumisections.js, code is 99, comment is 0, blank is 5.
components/offline/lumisections/lumisections/Lumisections.js, code is 101, comment is 1, blank is 4.
components/offline/manage_dataset/manageDataset/editDataset/editClass/EditClass.js, code is 73, comment is 0, blank is 4.
components/offline/manage_dataset/manageDataset/editDataset/EditDataset.js, code is 120, comment is 1, blank is 10.
components/offline/manage_dataset/manageDataset/history/History.js, code is 216, comment is 10, blank is 4.
components/offline/manage_dataset/manageDataset/history/readme.md, code is 0, comment is 0, blank is 0.
components/offline/manage_dataset/manageDataset/ManageDataset.js, code is 29, comment is 2, blank is 5.
components/offline/manage_dataset/ManageDatasetModal.js, code is 50, comment is 1, blank is 3.
components/online/classifier_visualization/classifierVisualization/ClassifierVisualization.js, code is 185, comment is 1, blank is 4.
components/online/classifier_visualization/ClassifierVisualizationModal.js, code is 51, comment is 1, blank is 2.
components/online/configuration/classClassifierConfiguration/ClassClassifierConfiguration.js, code is 249, comment is 0, blank is 10.
components/online/configuration/componentClassifierConfiguration/ComponentClassifierConfiguration.js, code is 250, comment is 0, blank is 8.
components/online/configuration/ConfigurationModal.js, code is 68, comment is 1, blank is 4.
components/online/configuration/datasetClassifierConfiguration/DatasetClassifierConfiguration.js, code is 213, comment is 0, blank is 7.
components/online/lumisections/LumisectionModal.js, code is 47, comment is 1, blank is 3.
components/online/lumisections/lumisections/Lumisections.js, code is 81, comment is 1, blank is 6.
components/online/manage_run/manageRun/editRun/EditRun.js, code is 232, comment is 1, blank is 7.
components/online/manage_run/manageRun/history/History.js, code is 135, comment is 38, blank is 5.
components/online/manage_run/manageRun/ManageRun.js, code is 33, comment is 2, blank is 5.
components/online/manage_run/ManageRunModal.js, code is 47, comment is 1, blank is 3.
components/online/run_table/columns/columns.js, code is 338, comment is 5, blank is 8.
components/online/run_table/filters/format_filters.js, code is 77, comment is 8, blank is 1.
components/online/run_table/filters/format_sortings.js, code is 7, comment is 0, blank is 0.
components/online/run_table/filters/rename_triplets.js, code is 23, comment is 4, blank is 3.
components/online/run_table/RunTable.js, code is 187, comment is 11, blank is 9.
components/online/run_table/SignificantRunTable.js, code is 187, comment is 12, blank is 8.
components/ui/breadcrumb/Breadcrumb.js, code is 132, comment is 22, blank is 11.
components/ui/nav/Nav.js, code is 24, comment is 1, blank is 2.
components/ui/nav/side/SideNav.js, code is 73, comment is 1, blank is 6.
components/ui/nav/top/TopNav.js, code is 117, comment is 1, blank is 5.
components/ui/theme.js, code is 37, comment is 0, blank is 3.
config/config.js, code is 197, comment is 2, blank is 15.
docker-compose.yml, code is 9, comment is 0, blank is 0.
Dockerfile, code is 6, comment is 0, blank is 3.
documentation/rr_slides.pptx, it is a binary file.
documentation/tech_proposal.pdf, it is a binary file.
documentation/tech_proposal.pptx, it is a binary file.
documentation/~$tech_proposal.pptx, it is a binary file.
ducks/classifier_editor.js, code is 65, comment is 0, blank is 8.
ducks/info.js, code is 28, comment is 0, blank is 4.
ducks/offline/classifiers/component.js, code is 94, comment is 2, blank is 10.
ducks/offline/classifiers/dataset.js, code is 38, comment is 0, blank is 4.
ducks/offline/classifiers/index.js, code is 8, comment is 0, blank is 3.
ducks/offline/datasets.js, code is 109, comment is 1, blank is 10.
ducks/offline/datasets_accepted.js, code is 91, comment is 0, blank is 10.
ducks/offline/dc_tools.js, code is 31, comment is 0, blank is 2.
ducks/offline/index.js, code is 20, comment is 0, blank is 3.
ducks/offline/lumisections.js, code is 41, comment is 0, blank is 5.
ducks/offline/ui.js, code is 84, comment is 0, blank is 10.
ducks/offline/waiting_datasets.js, code is 106, comment is 1, blank is 11.
ducks/offline/workspace.js, code is 62, comment is 2, blank is 6.
ducks/online/classifiers/class.js, code is 57, comment is 1, blank is 7.
ducks/online/classifiers/component.js, code is 94, comment is 2, blank is 10.
ducks/online/classifiers/dataset.js, code is 89, comment is 1, blank is 9.
ducks/online/classifiers/index.js, code is 10, comment is 0, blank is 2.
ducks/online/index.js, code is 14, comment is 0, blank is 3.
